romset,opdb_id
bmxa,G48NB-MD384
bnzai_g3,GR9lZ-MkP2j
bnzai_l1,GR9lZ-MkP2j
bnzai_l3,GR9lZ-MkP2j
bnzai_pa,GR9lZ-MkP2j
bnzai_t3,GR9lZ-MkP2j
bonebffp,G5Lk0-MQjl3
bonebgfp,G5Lk0-MQjl3
bonebsfp,G5Lk0-MQjl3
bonebstf,G5Lk0-MQjl3
bonebstg,G5Lk0-MQjl3
bonebstr,G5Lk0-MQjl3
boomranb,GrEOB-MDR2Y
boomrang,GrEOB-MDR2Y
bop_d2,GRpee-MePdR
bop_d3,GRpee-MePdR
bop_d4,GRpee-MePdR
bop_d5,GRpee-MePdR
bop_d6,GRpee-MePdR
bop_d7,GRpee-MePdR
bop_d8,GRpee-MePdR
bop_l2,GRpee-MePdR
bop_l3,GRpee-MePdR
bop_l4,GRpee-MePdR
bop_l5,GRpee-MePdR
bop_l6,GRpee-MePdR
bop_l7,GRpee-MePdR
bop_l8,GRpee-MePdR
bountgfp,G5nO8-ME0Wo
bounthfp,G5nO8-ME0Wo
bountyh,G5nO8-ME0Wo
bountyhg,G5nO8-ME0Wo
bowarroa,GRoqq-MJr9K
bowarrow,GRoqq-MJr9K
br_d1,G5vZd-MQpWZ
br_d3,G5vZd-MQpWZ
br_d4,G5vZd-MQpWZ
br_l1,G5vZd-MQpWZ
br_l3,G5vZd-MQpWZ
br_l4,G5vZd-MQpWZ
br_p17,G5vZd-MQpWZ
br_p18,G5vZd-MQpWZ
bsb105,G43oE-M0ok5
bsv100r,G43oE-M0ok5
bsv102,G43oE-M0ok5
bsv102r,G43oE-M0ok5
bsv103,G43oE-M0ok5
btmn_101,GrOpb-MQ7w1
btmn_103,GrOpb-MQ7w1
btmn_106,GrOpb-MQ7w1
btmn_f13,GrOpb-MQ7w1
btmn_g13,GrOpb-MQ7w1
bttf_a20,GRpbW-MLXq2
bttf_a21,GRpbW-MLXq2
bttf_a27,GRpbW-MLXq2
bttf_a28,GRpbW-MLXq2
bttf_g27,GRpbW-MLXq2
buckrgrs,GRw8o-MDxjq
bullsen2,G4kE2-MBRzN
bullsey2,G4kE2-MBRzN
bullseye,G4kE2-MBRzN
bullseyn,G4kE2-MBRzN
bushido,GrkVZ-MLnkl
